Order	Family	Subfamily	Tribe	Genus	Species	LivingGenus	LivingRelative	Living	TaxonString	FCT_HYP	FCT_LOP	FCT_HOR	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Artiodactyla	Bovidae	NA	Alcelaphini	Megalotragus	NA	Connochaetes	NA	NA	ArtiodactylaBovidaeBoviniAlcelaphinicf Megalotragus	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	Megalotragus	NA	Connochaetes	NA	NA	ArtiodactylaBovidaeAlcelaphinMegalotragus	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	Megalotragus	NA	Connochaetes	NA	NA	ArtiodactylaBovidaeAlcelaphinicf Megalotragus	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	Palmularis/Damaliscus	NA	NA	NA	NA	ArtiodactylaBovidaeAlcelaphiniPalmularis/Damaliscusindet	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	Parmularius	altidens	Damaliscus	Damaliscus lunatus	0	ArtiodactylaBovidaeAlcelaphiniParmulariusaltidens	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	Parmularius	angusticornis	Damaliscus	Damaliscus lunatus	0	ArtiodactylaBovidaeAlcelaphiniParmulariusangusticornis	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	Parmularius	NA	Damaliscus	NA	NA	ArtiodactylaBovidaeAlcelaphiniParmularius	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	gen	sp	NA	NA	NA	ArtiodactylaBovidaeAlcelaphinigensp	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	gen	sp nov	NA	NA	NA	ArtiodactylaBovidaeAlcelaphinigensp nov	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeAlcelaphini	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeAlcelaphiniindetindet	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Alcelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeAlcelaphiniindet	3	2	1	0	1	0	1	0
Artiodactyla	Bovidae	NA	Antilopini	Antidorcas	recki	Antidorcas	Antidorcas marsupialis	0	ArtiodactylaBovidaeAntilopiniAntidorcasrecki	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Antidorcas	NA	Antidorcas	NA	NA	ArtiodactylaBovidaeAntilopiniAntidorcas	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Gazella	granti	Gazella	Nanger granti	1	ArtiodactylaBovidaeAntilopiniGazellagranti	3	2	1	0	1	0	0	0
