UniqueKey	EastWest	Formation	Member	MidMemberAge	Order	Family	Subfamily	Tribe	Genus	Species	TaxonString	ComLocID	noSpecies	ComLoc_raw	ComLoc
20001	E	Koobi Fora	KBS ﾖ Chari	1.31	Carnivora	Felidae	Machairodontinae	Smilodontini	Megantereon	NA	CarnivoraFelidaeMachairodontinaeSmilodontiniMegantereon	NA	NA	2 >< KBS ﾖ Chari	NA
20002	E	Koobi Fora	KBS ﾖ Chari	1.31	Carnivora	Felidae	Machairodontinae	Smilodontini	Megantereon	sp	CarnivoraFelidaeMachairodontinaeSmilodontiniMegantereonsp	NA	NA	12 >< KBS ﾖ Chari	NA
20003	E	Koobi Fora	KBS ﾖ Chari	1.31	Artiodactyla	Suidae	NA	NA	NA	NA	ArtiodactylaSuidae	NA	NA	6A >< KBS ﾖ Chari	NA
20004	E	Koobi Fora	KBS ﾖ Chari	1.31	Carnivora	Hyaenidae	NA	NA	Parahyaena	sp	CarnivoraHyaenidaeParahyaenasp	NA	NA	NA >< KBS ﾖ Chari	NA
20005	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	NA	ArtiodactylaBovidaeTragelaphiniTragelaphus	NA	NA	8 >< Lokochot	NA
20006	E	Koobi Fora	Lokochot	3.52	Carnivora	Hyaenidae	NA	NA	Crocuta	ultra	CarnivoraHyaenidaeCrocutaultra	NA	NA	102 >< Lokochot	NA
20007	E	Koobi Fora	Lokochot	3.52	Carnivora	Felidae	Machairodontinae	NA	NA	NA	CarnivoraFelidaeMachairodontinae	2	5	116 >< Lokochot	116 >< Lokochot
20008	E	Koobi Fora	Lokochot	3.52	Carnivora	Canidae	NA	NA	Lupulella	NA	CarnivoraCanidaeLupulella	2	5	116 >< Lokochot	116 >< Lokochot
20009	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Colobinae	Colobini	Cercopithecoides	kimeui	PrimatesCercopithecidaeColobinaeColobiniCercopithecoideskimeui	2	5	116 >< Lokochot	116 >< Lokochot
20010	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Sivatheriini	Sivatherium	maurusium	ArtiodactylaGiraffidaeSivatheriiniSivatheriummaurusium	2	5	116 >< Lokochot	116 >< Lokochot
20011	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	2	5	116 >< Lokochot	116 >< Lokochot
20012	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	2	5	116 >< Lokochot	116 >< Lokochot
20013	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	2	5	116 >< Lokochot	116 >< Lokochot
20014	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	2	5	116 >< Lokochot	116 >< Lokochot
20015	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	stillei	ArtiodactylaGiraffidaeGiraffiniGiraffastillei	3	21	117 >< Lokochot	117 >< Lokochot
20016	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	pygmaea	ArtiodactylaGiraffidaeGiraffiniGiraffapygmaea	3	21	117 >< Lokochot	117 >< Lokochot
20017	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20018	E	Koobi Fora	Lokochot	3.52	Primates	Hominidae	Homininae	Hominini	Homo	NA	PrimatesHominidaeHomininaeHomininiHomo	3	21	117 >< Lokochot	117 >< Lokochot
20019	E	Koobi Fora	Lokochot	3.52	Primates	Hominidae	Homininae	Hominini	NA	NA	PrimatesHominidaeHomininaeHominini	3	21	117 >< Lokochot	117 >< Lokochot
20020	E	Koobi Fora	Lokochot	3.52	Primates	Hominidae	Homininae	Hominini	NA	NA	PrimatesHominidaeHomininaeHominini	3	21	117 >< Lokochot	117 >< Lokochot
20021	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot
20022	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20023	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20024	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot
