SITE	lon_bio	lat_bio	bio1	bio12	NPP
59344	15.06	-24.87	164	34	67
59345	15.55	-24.87	164	66	129
59346	16.05	-24.87	154	123	235
59347	16.54	-24.87	157	155	293
59348	17.04	-24.87	173	182	341
59349	17.53	-24.87	204	186	349
59350	18.03	-24.87	201	248	455
59351	18.52	-24.87	201	244	449
59352	19.02	-24.87	201	217	403
59353	19.51	-24.87	200	216	401
59354	20.01	-24.87	201	228	421
59355	20.5	-24.87	203	246	452
59356	21	-24.87	203	268	489
59357	21.49	-24.87	202	290	525
59358	21.99	-24.87	201	311	560
59359	22.48	-24.87	202	317	569
59360	22.98	-24.87	201	320	574
59361	23.47	-24.87	202	333	595
59362	23.97	-24.87	200	373	658
59363	24.46	-24.87	197	421	732
59364	24.96	-24.87	190	487	829
59365	25.45	-24.87	193	489	832
59366	25.95	-24.87	195	432	748
59367	26.44	-24.87	203	469	803
59368	26.94	-24.87	193	609	998
59369	27.43	-24.87	209	582	962
59370	27.93	-24.87	194	606	994
59371	28.42	-24.87	184	636	1033
59372	28.92	-24.87	195	566	940
59373	29.41	-24.87	201	568	943
59374	29.91	-24.87	163	772	1203
59375	30.4	-24.87	183	812	1250
59376	30.9	-24.87	158	1039	1495
59377	31.39	-24.87	214	670	1077
59378	31.89	-24.87	218	655	1058
59379	32.38	-24.87	228	710	1128
59380	32.88	-24.87	231	784	1217
59381	33.37	-24.87	234	855	1300
59382	33.87	-24.87	231	815	1254
60073	14.85	-24.42	169	23	45
60074	15.34	-24.42	171	58	113
60075	15.83	-24.42	175	92	178
60076	16.33	-24.42	156	175	329
60077	16.82	-24.42	170	173	326
60078	17.31	-24.42	189	202	377
60079	17.81	-24.42	201	210	390
60080	18.3	-24.42	202	239	440
60081	18.79	-24.42	199	234	432
60082	19.29	-24.42	198	222	411
60083	19.78	-24.42	199	224	415
60084	20.27	-24.42	201	248	455
60085	20.77	-24.42	203	269	491
60087	21.75	-24.42	202	314	565
60088	22.25	-24.42	202	324	581
60089	22.74	-24.42	203	325	582
60090	23.23	-24.42	202	341	608
60091	23.73	-24.42	200	363	643
