Genus	TAXON	FAMILY	ORDER	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Ozotoceros	Ozotoceros bezoarticus	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Przewalskium	Przewalskium albirostris	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Pudu	Pudu mephistophiles	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Rangifer	Rangifer tarandus	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Rucervus	Rucervus duvaucelii	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Rusa	Rusa alfredi	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Giraffa	Giraffa camelopardalis	Giraffidae	Artiodactyla	1	2	1	0	1	0	0	0
Okapia	Okapia johnstoni	Giraffidae	Artiodactyla	1	2	1	0	1	0	0	0
Hexaprotodon	Hexaprotodon liberiensis	Hippopotamidae	Artiodactyla	1	0	1	0	1	1	0	0
Hippopotamus	Hippopotamus amphibius	Hippopotamidae	Artiodactyla	2	0	1	0	1	1	0	0
Moschus	Moschus anhuiensis	Moschidae	Artiodactyla	1	2	1	0	1	0	0	0
Babyrousa	Babyrousa babyrussa	Suidae	Artiodactyla	1	0	1	0	0	0	0	0
Hylochoerus	Hylochoerus meinertzhageni	Suidae	Artiodactyla	2	0	2	0	1	1	0	1
Phacochoerus	Phacochoerus aethiopicus	Suidae	Artiodactyla	3	0	3	0	0	0	1	1
Potamochoerus	Potamochoerus larvatus	Suidae	Artiodactyla	1	0	1	0	0	1	0	0
Sus	Sus ahoenobarbus	Suidae	Artiodactyla	1	0	1	0	0	1	0	0
Catagonus	Catagonus wagneri	Tayassuidae	Artiodactyla	1	0	1	0	0	1	0	0
Pecari	Pecari tajacu	Tayassuidae	Artiodactyla	1	0	1	0	0	1	0	0
Tayassu	Tayassu pecari	Tayassuidae	Artiodactyla	1	0	1	0	0	1	0	0
Hyemoschus	Hyemoschus aquaticus	Tragulidae	Artiodactyla	1	2	1	0	1	0	0	0
Moschiola	Moschiola meminna	Tragulidae	Artiodactyla	1	2	1	0	1	0	0	0
Tragulus	Tragulus javanicus	Tragulidae	Artiodactyla	1	2	1	0	1	1	0	0
Equus	Equus asinus	Equidae	Perissodactyla	3	2	1	0	1	0	1	1
Diceros	Diceros bicornis	Rhinoceratidae	Perissodactyla	2	1	1	1	1	0	0	0
Ceratotherium	Ceratotherium simum	Rhinocerotidae	Perissodactyla	3	2	1	0	1	0	1	1
Dicerorhinus	Dicerorhinus sumatrensis	Rhinocerotidae	Perissodactyla	1	1	1	1	1	0	0	0
Rhinoceros	Rhinoceros sondaicus	Rhinocerotidae	Perissodactyla	1	2	1	1	1	0	0	0
Tapirus	Tapirus bairdii	Tapiridae	Perissodactyla	1	0	1	1	0	0	0	0
Aotus	Aotus nigriceps	Aotidae	Primates	1	0	1	0	0	0	0	0
Ateles	Ateles geoffroyi	Atelidae	Primates	1	0	1	0	0	0	0	0
Lagothrix	Lagothrix poeppigii	Atelidae	Primates	1	0	1	0	0	0	0	0
Oreonax	Oreonax flavicauda	Atelidae	Primates	1	0	1	0	0	0	0	0
Callimico	Callimico goeldii	Callitrichidae	Primates	1	0	1	0	0	0	0	0
Callithrix	Callithrix acariensis	Callitrichidae	Primates	1	0	1	0	0	0	0	0
Leontopithecus	Leontopithecus caissara	Callitrichidae	Primates	1	0	1	0	0	0	0	0
Saguinus	Saguinus bicolor	Callitrichidae	Primates	1	0	1	0	0	0	0	0
Alouatta	Alouatta belzebul	Cebidae	Primates	1	1	1	0	0	0	0	0
Brachyteles	Brachyteles arachnoides	Cebidae	Primates	1	0	1	0	0	0	0	0
Cacajao	Cacajao calvus	Cebidae	Primates	1	0	1	0	0	0	0	0
Callicebus	Callicebus baptista	Cebidae	Primates	1	0	1	0	0	0	0	0
Cebus	Cebus albifrons	Cebidae	Primates	1	0	1	0	0	0	0	0
Chiropotes	Chiropotes albinasus	Cebidae	Primates	1	0	1	0	0	0	0	0
Pithecia	Pithecia aequatorialis	Cebidae	Primates	1	0	1	0	0	0	0	0
Saimiri	Saimiri boliviensis	Cebidae	Primates	1	0	1	0	0	0	0	0
Allenopithecus	Allenopithecus nigroviridis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Cercocebus	Cercocebus agilis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Cercopithecus	Cercopithecus albogularis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Chlorocebus	Chlorocebus aethiops	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Colobus	Colobus angolensis	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Erythrocebus	Erythrocebus patas	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Lophocebus	Lophocebus albigena	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Macaca	Macaca arctoides	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Mandrillus	Mandrillus leucophaeus	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Miopithecus	Miopithecus ogouensis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Nasalis	Nasalis larvatus	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Papio	Papio anubis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Piliocolobus	Piliocolobus badius	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Presbytis	Presbytis chrysomelas	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Procolobus	Procolobus verus	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Pygathrix	Pygathrix cinerea	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Rhinopithecus	Rhinopithecus avunculus	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Semnopithecus	Semnopithecus ajax	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Simias	Simias concolor	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Theropithecus	Theropithecus gelada	Cercopithecidae	Primates	1	0	1	0	1	1	0	0
Trachypithecus	Trachypithecus auratus	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Allocebus	Allocebus trichotis	Cheirogaleidae	Primates	1	0	1	0	0	0	0	0
Cheirogaleus	Cheirogaleus adipicaudatus	Cheirogaleidae	Primates	1	0	1	0	0	0	0	0
Microcebus	Microcebus berthae	Cheirogaleidae	Primates	1	0	1	0	0	0	0	0
Mirza	Mirza coquereli	Cheirogaleidae	Primates	1	0	1	0	0	0	0	0
Phaner	Phaner electromontis	Cheirogaleidae	Primates	1	0	1	0	0	0	0	0
Daubentonia	Daubentonia madagascariensis	Daubentoniidae	Primates	1	0	1	0	0	0	0	0
Galago	Galago gallarum	Galagidae	Primates	1	0	1	0	0	0	0	0
Otolemur	Otolemur crassicaudatus	Galagidae	Primates	1	0	1	0	0	0	0	0
Euoticus	Euoticus elegantulus	Galagonidae	Primates	1	0	1	0	0	0	0	0
Gorilla	Gorilla beringei	Hominidae	Primates	1	0	1	0	0	0	0	0
Homo	Homo sapiens	Hominidae	Primates	1	0	1	0	0	0	0	0
Pan	Pan paniscus	Hominidae	Primates	1	0	1	0	0	0	0	0
Pongo	Pongo abelii	Hominidae	Primates	1	0	1	0	0	0	0	0
Bunopithecus	Bunopithecus hoolock	Hylobatidae	Primates	1	0	1	0	0	0	0	0
Hylobates	Hylobates agilis	Hylobatidae	Primates	1	0	1	0	0	0	0	0
Nomascus	Nomascus concolor	Hylobatidae	Primates	1	0	1	0	0	0	0	0
Symphalangus	Symphalangus syndactylus	Hylobatidae	Primates	1	0	1	0	0	0	0	0
Avahi	Avahi laniger	Indridae	Primates	1	1	1	0	0	0	0	0
Indri	Indri indri	Indridae	Primates	1	1	1	0	0	0	0	0
Propithecus	Propithecus coquereli	Indridae	Primates	1	1	1	1	0	0	0	0
Eulemur	Eulemur albifrons	Lemuridae	Primates	1	0	1	1	1	0	0	0
Hapalemur	Hapalemur alaotrensis	Lemuridae	Primates	1	0	1	1	1	0	0	0
Lemur	Lemur catta	Lemuridae	Primates	1	0	1	0	0	0	0	0
Prolemur	Prolemur simus	Lemuridae	Primates	1	0	1	0	0	0	0	0
Varecia	Varecia rubra	Lemuridae	Primates	1	1	1	1	1	0	0	0
Lepilemur	Lepilemur ankaranensis	Lepilemuridae	Primates	1	1	1	1	1	0	0	0
Arctocebus	Arctocebus calabarensis	Loridae	Primates	1	0	1	0	0	0	0	0
Loris	Loris lydekkerianus	Loridae	Primates	1	0	1	0	0	0	0	0
Nycticebus	Nycticebus bengalensis	Loridae	Primates	1	0	1	0	0	0	0	0
Perodicticus	Perodicticus potto	Lorisidae	Primates	1	0	1	0	0	0	0	0
Tarsius	Tarsius bancanus	Tarsiidae	Primates	1	0	1	0	0	0	0	0
Elephas	Elephas maximus	Elephantidae	Proboscidea	3	0	3	0	1	0	1	1
Loxodonta	Loxodonta africana	Elephantidae	Proboscidea	3	0	3	0	1	0	1	1
