ComLoc	Member	MidMemberAge	noFossils	noGenus	noSpecies	EastWest	Formation
103 >< Okote	Okote	1.46	106	23	0	1	Koobi Fora
103 >< Upper Burgi	Upper Burgi	1.91	4	3	0	1	Koobi Fora
104 >< KBS	KBS	1.7	252	27	0	1	Koobi Fora
104 >< Upper Burgi	Upper Burgi	1.91	31	13	0	1	Koobi Fora
105 >< Upper Burgi	Upper Burgi	1.91	190	30	0	1	Koobi Fora
105 >< KBS	KBS	1.7	148	24	0	1	Koobi Fora
106 >< KBS	KBS	1.7	31	15	0	1	Koobi Fora
115 >< Upper Burgi	Upper Burgi	1.91	54	16	0	1	Koobi Fora
116 >< Upper Burgi	Upper Burgi	1.91	36	16	0	1	Koobi Fora
117 >< Upper Burgi	Upper Burgi	1.91	1	1	0	1	Koobi Fora
118 >< Upper Burgi	Upper Burgi	1.91	6	5	0	1	Koobi Fora
119 >< KBS	KBS	1.7	50	17	0	1	Koobi Fora
120 >< KBS	KBS	1.7	11	7	0	1	Koobi Fora
121 >< KBS	KBS	1.7	30	15	0	1	Koobi Fora
123 >< KBS	KBS	1.7	147	26	0	1	Koobi Fora
123 >< Upper Burgi	Upper Burgi	1.91	80	15	0	1	Koobi Fora
124 >< KBS	KBS	1.7	16	10	0	1	Koobi Fora
127 >< KBS	KBS	1.7	6	4	0	1	Koobi Fora
129 >< Upper Burgi	Upper Burgi	1.91	62	19	0	1	Koobi Fora
129 >< KBS	KBS	1.7	4	4	0	1	Koobi Fora
129 >< UBM ﾖ KBS	UBM ﾖ KBS	1.74	1	1	0	1	Koobi Fora
130 >< Upper Burgi	Upper Burgi	1.91	466	29	0	1	Koobi Fora
130 >< KBS	KBS	1.7	19	12	0	1	Koobi Fora
131 >< Upper Burgi	Upper Burgi	1.91	338	29	0	1	Koobi Fora
131 >< Okote	Okote	1.46	8	4	0	1	Koobi Fora
131 >< KBS	KBS	1.7	12	8	0	1	Koobi Fora
250 >< Moiti ﾖ Lokochot	Moiti ﾖ Lokochot	3.71	14	4	0	1	Koobi Fora
250 >< Moiti	Moiti	3.79	20	4	0	1	Koobi Fora
KOS >< Kataboi	Kataboi	3.71	3	2	0	2	Nachukui
LK1 >< Kataboi	Kataboi	3.71	18	7	0	2	Nachukui
LK2 >< Kataboi	Kataboi	3.71	4	4	0	2	Nachukui
LO6 >< Kataboi	Kataboi	3.71	38	14	0	2	Nachukui
NS1 >< Kataboi	Kataboi	3.71	6	5	0	2	Nachukui
4 >< Chari	Chari	1.07	4	4	0	1	Koobi Fora
KP >< KP	NA	4.16	248	22	0	2	Kanapoi
LT >< Apak	Apak	4.22	136	29	0	2	Nachukui
LT-J >< Lower Nawata	Lower Nawata	7.8	531	25	0	2	Nawata
LT-K >< Upper Nawata	Upper Nawata	5.75	426	27	0	2	Nawata
