Member	MidMemberAge	Formation	noComLocs	mnHYP	mnHOR	mnAL	mnOL	mnSF	mnOT	mnCM	sdHYP	sdHOR	sdAL	sdOL	sdSF	sdOT	sdCM	mn_temp_high	sd_temp_high	mn_pred_npp_ecom	mn_pred_npp_ecomI	sd_pred_npp_ecom	sd_pred_npp_ecomI	mn_pred_npp_base_ecom	sd_pred_npp_base_ecom	mnLOP	sdLOP	mn_pred_habitat	sd_pred_habitat	mn_pred_taxa	sd_pred_taxa
Lonyumun	4.16	Koobi Fora	1	1.286	1	0.143	0.429	0.143	0	0	NA	NA	NA	NA	NA	NA	NA	34.208	NA	1760.943	1757.621	NA	NA	1714.453	NA	0.571	NA	1440.857	NA	1340.012	NA
Moiti	3.79	Koobi Fora	1	2.5	1	0	1	0.5	0	0.25	NA	NA	NA	NA	NA	NA	NA	0.55	NA	647.906	1371.5	NA	NA	1404	NA	1.5	NA	1320	NA	903.869	NA
Lokochot	3.52	Koobi Fora	3	2.241	1.154	0.026	0.757	0.189	0.249	0.243	0.059	0.267	0.044	0.127	0.031	0.233	0.127	26.236	4.026	1183.028	1212.548	235.789	341.368	1147.308	223.897	1.369	0.267	1253.706	84.363	847.952	77.661
Tulu Bor	3.04	Koobi Fora	7	2.149	1.279	0.057	0.751	0.319	0.323	0.356	0.276	0.242	0.058	0.138	0.166	0.189	0.107	17.054	12.577	1130.577	1889.843	401.401	556.786	1122.635	156.225	1.078	0.24	1292.646	51.963	1091.854	228.36
Upper Burgi	1.91	Koobi Fora	14	2.396	1.388	0.059	0.696	0.297	0.449	0.472	0.22	0.189	0.039	0.112	0.106	0.081	0.124	19.606	6.303	686.408	1764.16	324.793	405.542	970.25	165.967	1.08	0.315	1258.735	90.215	1036.182	310.306
KBS	1.7	Koobi Fora	27	2.363	1.227	0.034	0.803	0.297	0.415	0.408	0.18	0.137	0.056	0.119	0.096	0.111	0.109	17.819	7.759	845.157	1739.919	302.043	322.734	957.355	207.836	1.256	0.203	1257.778	87.619	945.463	260.852
Okote	1.46	Koobi Fora	13	2.275	1.248	0.016	0.705	0.31	0.463	0.48	0.163	0.12	0.026	0.114	0.124	0.103	0.145	19.29	9.299	957.405	1993.334	266.436	322.416	859.291	163.087	1.086	0.184	1363.489	73.357	1093.937	259.106
Chari	1.07	Koobi Fora	1	2	1.333	0	0.667	0.667	0.667	0.667	NA	NA	NA	NA	NA	NA	NA	-3.896	NA	1144.313	3891.778	NA	NA	568.249	NA	0.667	NA	1290.333	NA	745.487	NA
