ComLoc	Member	MidMemberAge	noFossils	noGenus	EastWest	Formation	meanHYP	meanHOR	meanAL	meanOL	meanSF	meanOT	meanCM	temp_high	pred_npp_ecom	pred_npp_ecomI	pred_npp_base_ecom	meanLOP	pred_habitat	pred_taxa
104 >< Upper Burgi	Upper Burgi	1.91	31	13	1	Koobi Fora	2.308	1.385	0.077	0.692	0.308	0.462	0.462	18.6688	917.847581144496	1937.705	992.281	1.077	1200.90909090909	874.641007878244
105 >< Upper Burgi	Upper Burgi	1.91	190	30	1	Koobi Fora	2.3	1.3	0.1	0.733	0.233	0.433	0.4	22.5262	958.871991077908	1646.688	1078.551	1.133	1288.28571428571	1411.38375497927
105 >< KBS	KBS	1.7	148	24	1	Koobi Fora	2.292	1.208	0.042	0.708	0.208	0.375	0.333	25.7156	1008.85924034206	1456.719	1025.307	1.208	1232.73684210526	836.995033261311
106 >< KBS	KBS	1.7	31	15	1	Koobi Fora	2.4	1.2	0	0.867	0.4	0.333	0.467	10.0931	836.954712671212	1869.336	986.751	1.333	1169.78571428571	867.101281532173
115 >< Upper Burgi	Upper Burgi	1.91	54	16	1	Koobi Fora	2.25	1.312	0.062	0.562	0.312	0.312	0.375	21.3402	984.01342962195	1715.02	1147.666	1	1313.92857142857	1317.70463787931
116 >< Upper Burgi	Upper Burgi	1.91	36	16	1	Koobi Fora	2.5	1.438	0.062	0.688	0.375	0.5	0.5	14.4543	504.84141409599	1971.75	912.102	1	1244.25	714.382289862021
118 >< Upper Burgi	Upper Burgi	1.91	6	5	1	Koobi Fora	2.6	2	0	0.6	0.6	0.6	0.8	2.04	177.31386797736	2770	652.2	0.4	1435.25	845.996243278588
119 >< KBS	KBS	1.7	50	17	1	Koobi Fora	2.118	1.176	0.118	0.706	0.294	0.353	0.412	18.6408	1266.87273985898	1925.871	1217.869	1.118	1361.125	1526.93697490043
120 >< KBS	KBS	1.7	11	7	1	Koobi Fora	2.429	1	0	1	0.571	0	0.143	-4.2709	900.40027686814	1678.527	1404	1.714	1194.71428571429	951.112814745327
121 >< KBS	KBS	1.7	30	15	1	Koobi Fora	2.333	1.2	0.067	0.667	0.267	0.467	0.467	22.1382	924.879146269904	1792.602	964.306	1.2	1316.5	1157.24213188553
123 >< KBS	KBS	1.7	147	26	1	Koobi Fora	2.462	1.269	0.077	0.808	0.231	0.462	0.385	21.4959	697.747098236814	1490.194	992.281	1.346	1257.04545454545	1328.21195345399
123 >< Upper Burgi	Upper Burgi	1.91	80	15	1	Koobi Fora	1.8	1.214	0.133	0.4	0.333	0.333	0.333	22.0749	1145.08457010299	2378.239	1275.494	0.4	1420.09090909091	1225.719334218
124 >< KBS	KBS	1.7	16	10	1	Koobi Fora	2.5	1.3	0	0.7	0.3	0.3	0.3	20.34	563.082773675224	1318.6	1028.1	1.2	1237.7	955.279627143605
127 >< KBS	KBS	1.7	6	4	1	Koobi Fora	2	1.5	0	0.5	0.25	0.5	0.5	27.875	1018.9133869013	2214.5	777.5	0.5	1512.5	992.060643445855
129 >< Upper Burgi	Upper Burgi	1.91	62	19	1	Koobi Fora	2.632	1.368	0.053	0.789	0.211	0.526	0.526	23.6504	254.248224656257	1355.5	859.985	1.368	1184.21428571429	992.608555300803
130 >< Upper Burgi	Upper Burgi	1.91	466	29	1	Koobi Fora	2.31	1.31	0.069	0.724	0.207	0.483	0.414	24.9987	926.122419453485	1649.854	948.6	1.103	1298.63636363636	1500.95075131396
130 >< KBS	KBS	1.7	19	12	1	Koobi Fora	2.417	1.167	0	0.75	0.167	0.5	0.417	28.3357	798.555230893093	1427.74	777.5	1.333	1291.36363636364	1020.99579832499
131 >< Upper Burgi	Upper Burgi	1.91	338	29	1	Koobi Fora	2.31	1.31	0.069	0.724	0.207	0.414	0.379	24.9987	942.174755552077	1510.918	1035.057	1.138	1291	1458.5013546545
131 >< Okote	Okote	1.46	8	4	1	Koobi Fora	2.5	1.5	0	0.5	0	0.75	0.75	44.85	504.84141409599	1326.25	464.25	1	1454.25	953.300947362779
131 >< KBS	KBS	1.7	12	8	1	Koobi Fora	2.375	1.25	0	0.875	0.375	0.5	0.625	11.625	859.336958187712	2174.625	777.5	1.25	1247.71428571429	705.973839539537
250 >< Moiti ﾖ Lokochot	Moiti ﾖ Lokochot	3.71	14	4	1	Koobi Fora	2.25	2.25	0.25	0.5	0	0.5	0.5	40.65	710.06830715774	1097.25	1320.25	0.5	1386	823.293943093592
250 >< Moiti	Moiti	3.79	20	4	1	Koobi Fora	2.5	1	0	1	0.5	0	0.25	0.549999999999997	647.905780211027	1371.5	1404	1.5	1320	903.869109429621
LK1 >< Kataboi	Kataboi	3.71	18	7	2	Nachukui	2	1.571	0.143	0.714	0.143	0.286	0.286	28.3081	1277.35950861361	1438.767	1356.095	0.857	1220.83333333333	780.395045324016
LO6 >< Kataboi	Kataboi	3.71	38	14	2	Nachukui	1.857	1.214	0.071	0.571	0.214	0.143	0.143	27.6569	1350.87513969291	1538.438	1378.962	0.714	1344.91666666667	1234.68815050361
NS1 >< Kataboi	Kataboi	3.71	6	5	2	Nachukui	2	1.6	0	0.6	0.2	0.4	0.4	29.2	1238.47969001875	1858.8	902.8	0.8	1205	717.56693613709
KP >< KP	NA	4.16	248	22	2	Kanapoi	1.955	1.591	0.136	0.591	0.136	0.364	0.318	31.4471	1141.63702416634	1620.292	1243.164	0.591	1328.4	1292.14637891632
LT >< Apak	Apak	4.22	136	29	2	Nachukui	2.207	1.379	0.103	0.862	0.207	0.345	0.276	21.5709	1182.70401676534	1498.255	1195.328	1.241	1218.23529411765	770.037265940668
